Draft,Round,Pick,Name,Position,Signing Bonus,School Type,MLB Debut,Years in MLB,Active,Last Year,Age at Draft,Rookie Year,Bats,Throws
2011,50,8,Cody Edwards,RHP,,JC,N/A,N/A,FALSE,2013,21,N/A,Right,
2011,50,9,Colton Davis,Batter,,HS,N/A,N/A,FALSE,2015,18,N/A,Right,Right
2011,50,10,Matthew Franco,Batter,,HS,N/A,N/A,FALSE,2011,18,N/A,Left,Left
2011,50,11,Eddie Rohan,Batter,,4Yr,N/A,N/A,FALSE,2013,22,N/A,Right,Right
2011,50,12,Cory Caruso,LHP,,4Yr,N/A,N/A,FALSE,2014,20,N/A,Left,Left
2011,50,13,Chris Ellis,RHP,,HS,2019,3,TRUE,2024,18,2022,Left,Right
2011,50,14,Trent Garrison,Batter,,4Yr,N/A,N/A,FALSE,2014,21,N/A,Left,Right
2011,50,15,Travis Pitcher,RHP,,JC,N/A,N/A,FALSE,2014,20,N/A,Right,Right
2011,50,16,Brandon Weber,Batter,,HS,N/A,N/A,FALSE,2015,18,N/A,Right,Right
2011,50,17,Heath Holder,Batter,,HS,N/A,N/A,FALSE,2022,18,N/A,Right,Right
2011,50,18,Eric Brown,RHP,,4Yr,N/A,N/A,FALSE,2013,22,N/A,Left,Right
2011,50,19,Tyler Sibley,Batter,,4Yr,N/A,N/A,FALSE,2012,21,N/A,Right,
2011,50,20,Jack Graham,Batter,,HS,N/A,N/A,FALSE,2016,18,N/A,Right,Right
2011,50,21,John Gorman,RHP,,HS,N/A,N/A,FALSE,2021,19,N/A,Right,Right
2011,50,22,Kenneth Wiser,RHP,,4Yr,N/A,N/A,FALSE,2011,22,N/A,Right,Right
2011,50,23,Austin Robichaux,RHP,,HS,N/A,N/A,FALSE,2018,18,N/A,Right,Right
2011,50,24,Kevin McKague,RHP,,4Yr,N/A,N/A,FALSE,2012,22,N/A,Right,Right
2011,50,25,Waldyvan Estrada,Batter,,HS,N/A,N/A,FALSE,2015,17,N/A,Right,Right
2011,50,26,Bryan Burgher,RHP,,HS,N/A,N/A,FALSE,2013,18,N/A,Right,Right
2011,50,27,Cody Stewart,Batter,,HS,N/A,N/A,FALSE,2012,17,N/A,Left,
2011,50,28,Ian Tomkins,Batter,,4Yr,N/A,N/A,FALSE,2011,22,N/A,Right,Right
2011,50,29,Kolya Stephenson,RHP,,HS,N/A,N/A,FALSE,2013,17,N/A,Right,Right
2010,1,1,Bryce Harper,Batter,"$6,250,000",JC,2012,13,TRUE,2024,17,2012,Left,Right
2010,1,2,Jameson Taillon,RHP,"$6,500,000",HS,2016,8,TRUE,2024,18,2016,Right,Right
2010,1,3,Manny Machado,Batter,"$5,250,000",HS,2012,13,TRUE,2024,17,2012,Right,Right
2010,1,4,Christian Colón,Batter,"$2,750,000",4Yr,2014,6,FALSE,2021,21,2015,Right,Right
2010,1,5,Drew Pomeranz,LHP,"$2,650,000",4Yr,2011,11,TRUE,2024,21,2012,Right,Left
2010,1,6,Barret Loux,RHP,,4Yr,N/A,N/A,FALSE,2016,21,N/A,Right,Right
2010,1,7,Matt Harvey,RHP,"$2,525,000",4Yr,2012,9,FALSE,2022,21,2012,Right,Right
2010,1,8,Delino DeShields,Batter,"$2,150,000",HS,2015,7,TRUE,2024,17,2015,Right,Right
2010,1,9,Karsten Whitson,RHP,,HS,N/A,N/A,FALSE,2014,18,N/A,Right,Right
2010,1,10,Michael Choice,Batter,"$2,000,000",4Yr,2013,3,FALSE,2021,20,2014,Right,Right
2010,1,11,Deck McGuire,RHP,"$2,000,000",4Yr,2017,2,FALSE,2022,21,2018,Right,Right
2010,1,12,Yasmani Grandal,Batter,"$2,000,000",4Yr,2012,13,TRUE,2024,21,2012,Both,Right
2010,1,13,Chris Sale,LHP,"$1,656,000",4Yr,2010,14,TRUE,2024,21,2011,Left,Left
2010,1,14,Dylan Covey,RHP,,HS,2017,5,TRUE,2024,18,2017,Right,Right
2010,1,15,Jake Skole,Batter,"$1,557,000",HS,N/A,N/A,FALSE,2022,18,N/A,Left,Right
